BARRA;PRODUCTO;FAM;DESCPROD;LABORATORIO;FECLOTE;NETO;PEDIDO;TOTAL NETO;SALDO
7,36E+11;M736085402551;FAR;3A OFTENO  SOL OFT X 5 ML;SOPHIA;feb-26;$11.614;;;50
7,80E+12;G472945;FAR;451 COLONIA INGLESA X 260 ML;DURANDIN;abr-27;$1.988;;;50
7,80E+12;G472941;FAR;451 COLONIA INGLESA X 400 ML;DURANDIN;feb-28;$2.657;;;50
7,80E+12;M7800068010019;FAR;ABECIDIN-ACD GTS X 30 ML;PASTEUR;abr-26;$4.140;;;50
6,12E+11;M612197157001;FAR;ABINTRA SBR X 27 GR;CENCOMEX;jul-26;$7.768;;;50
7,81E+12;M7806500241386;FAR;ABOLENGO SERVILLETAS MINI COCTEL X 80 UND;CMPC TISSUE;ene-00;$382;;;50
4,10E+12;M4104480705199;FAR;ABRILAR JBE 35MG/5ML X 100 ML;PHARMA INVESTI;may-27;$3.945;;;50
4,47E+10;M44677203814;FAR;ABSORBENTE DE LECHE LAVABLE X 4 UND LANSINOH;BEST HOUSE;ene-00;$5.561;;;50
8,89E+12;M8888333567184;FAR;ABSORBENTE DE LECHE TROPICAL X 60 UN (DM);TROPICAL;ago-28;$1.634;;;50
8,88833E+12;M8888333567191;FAR;ABSORBENTE DE LECHE TROPICAL X 90 UND;TROPICAL;ago-28;$2.480;;;50
4,47E+10;M44677203883;FAR;ABSORBENTE LAVABLE  2 COLOR X 8 UND LANSINOH;BEST HOUSE;ene-00;$8.279;;;50
7,80E+12;M7800068010781;FAR;AC FORTE ADL JBE X 120 ML;PASTEUR;nov-27;$2.758;;;50
7,80466E+12;M7804663280662;FAR;ACAI BERRY COM 1000 MG X 60 NEXTFAR;NEXTFARMA;ene-26;$2.500;;;50
4,02E+12;CM100430;FAR;ACCU-CHEK FASTCLIK 24 LANCETS (DM);ROCHE DIAGNOSTICS;nov-27;$5.070;;;34
4,02E+12;M4015630066841;FAR;ACCU-CHEK GUIDE CINTAS X 50 (DM);ROCHE DIAGNOSTICS;ago-26;$12.321;;;50
4,02E+12;M4015630067077;FAR;ACCU-CHEK INSTANT CINTAS STRIP LA X 25;ROCHE DIAGNOSTICS;feb-26;$5.351;;;50
4,02E+12;M4015630067084;FAR;ACCU-CHEK INSTANT CINTAS STRIP LA X 50 (DM);ROCHE DIAGNOSTICS;jun-26;$9.714;;;50
7,80E+12;M7800059006878;FAR;ACCUALAXAN POLVO SBR X 7;PHARMA INVESTI;ene-27;$7.031;;;50
7,50E+12;M7500435146784;FAR;ACE DETERGENTE EN POLVO NATURALS BRISA FRESCA X 2700 GR;PROCTER & GAMBLE;ene-00;$6.059;;;50
7,50E+12;M7500435136471;FAR;ACE DETERGENTE EN POLVO NATURALS MANZANILLA X 2700 GR;PROCTER & GAMBLE;ene-00;$6.059;;;50
7,80E+12;M7800026660089;FAR;ACEBRON COM 4 MG X 20 (BE);RECALCINE;sept-25;$7.315;;;50
8,44E+12;CM106792;FAR;ACECNOU SBR 3 GR X 1;FAES FARMA;oct-28;$15.922;;;23
7,80E+12;CM111357;FAR;ACECNOU SBR 3 GR X 2;FAES FARMA;oct-28;$24.880;;;3
7,80E+12;M7804945017870;FAR;ACEITE BRONCEADOR FPS15 COCO ZANAHORIA X 210 ML;DURANDIN;ago-27;$3.175;;;50
7,80E+12;M7803504002494;FAR;ACEITE CALENDULA MANZANILLA SOL OTI X 15 ML KNOP;KNOP FITOTERAPEUTICOS;oct-26;$3.038;;;50
9,93E+11;M993007654211;FAR;ACEITE DE ALMENDRAS X 50 ML QUIMNATURA;QUIMNATURA;ene-27;$2.340;;;50
6,95E+12;M6948169301528;FAR;ACEITE DE ARGAN 100 ML GREEN MED;GREEN MEDICAL;nov-26;$7.943;;;50
6,60E+11;M659525184247;FAR;ACEITE DE CASTOR X 100 ML GREEN MEDICAL;GREEN MEDICAL;nov-26;$7.943;;;50
7,80E+12;M7803319004348;FAR;ACEITE DE COCO CAP 750 MG X 60 AURA;AURAVITALIS;abr-27;$3.589;;;50
1,00E+13;M9997416188235;FAR;ACEITE DE COCO X 140 GR VIDRIO QUIMNATURA;QUIMNATURA;abr-27;$2.815;;;50
7,90E+12;M7896731022625;FAR;ACEITE DE COCO X 250 ML GREEN MED(VIDRIO);GREEN MEDICAL;mar-27;$3.510;;;50
4,00E+12;M4000097688866;FAR;ACEITE DE COCO X 420 ML GREEN MED;GREEN MEDICAL;may-27;$5.269;;;50
9,98262E+12;M9982618883224;FAR;ACEITE DE COCO X 60 ML QUIMNATURA;QUIMNATURA;46447;1433;;;50
7,80005E+12;M7800045000071;FAR;ACEITE DE COCO X 60 ML SANAX;ELITE;46113;878;;;50
7,8046E+12;M7804603540092;FAR;ACEITE DE EMU 100% PURO HIPO X 30 ML;EMUCHILE;46784;3951;;;50
7,8046E+12;M7804603540559;FAR;ACEITE DE EMU CON ROSA MOSQUETA X 20 ML;EMUCHILE;46419;2214;;;50
7,8046E+12;M7804603540719;FAR;ACEITE DE EMU CON VITAMINA E HIPO X 20ML;EMUCHILE;46419;2940;;;50
7,80332E+12;M7803319005710;FAR;ACEITE HIGADO BACALAO INF X 200 ML AURA;AURAVITALIS;46082;1451;;;50
7,80004E+12;M7800044000430;FAR;ACEITE RICINO FRUTILLA X 20 ML VALMA;VALMA;46357;955;;;50
7,80004E+12;M7800044000423;FAR;ACEITE RICINO MENTA X 20 ML VALMA;VALMA;46296;949;;;50
7,80004E+12;M7800044000416;FAR;ACEITE RICINO PURO X 20 ML VALMA;VALMA;46388;945;;;50
7,79538E+12;CM111556;FAR;ACEMUK JBE 100MG/5ML X 100 ML;DEUTSCHE PHARMA;46446;5759;;;105
7,80003E+12;M7800026015261;FAR;ACERDIL COM 10 MG X 30;RECALCINE;45962;14714;;;50
7,80003E+12;M7800026015223;FAR;ACERDIL COM 5 MG X 30;RECALCINE;45962;7525;;;50
7,80003E+12;M7800026015278;FAR;ACERDIL-D COM X 30;RECALCINE;45931;19187;;;50
7,80001E+12;M7800007112583;FAR;ACETAZOLAMIDA COM 250 MG X 20 CHILE;CHILE;46478;2389;;;50
7,80006E+12;CM112673;FAR;ACETAZOLAMIDA COM 250 MG X 20 MINT;MINTLAB;46507;2203;;;67
7,80003E+12;N1000867;FAR;ACEVIT GTS X 30 ML;RECALCINE;45962;7695;;;50
7,80006E+12;CM112456;FAR;ACICLOVIR COM 200 MG X 24 MINT (BE);MINTLAB;47238;1084;;;305
7,80001E+12;N1000303;FAR;ACICLOVIR COM 200 MG X 25 CHILE (BE);CHILE;46327;1795;;;50
7,80001E+12;N1012129;FAR;ACICLOVIR COM 400 MG X 35 CHILE (BE);CHILE;46569;3615;;;50
7,80467E+12;G000008;FAR;ACICLOVIR COM 400 X 35 MDC;MDC;46417;2078,46;;;50
7,80001E+12;CM100457;FAR;ACICLOVIR CRE 5% X  5 GR CHILE;CHILE;46387;530;;;401
7,80465E+12;CM109670;FAR;ACICLOVIR CRE 5% X 15 GR ASCEND;ASCEND;46356;583;;;319
7,80001E+12;CM100456;FAR;ACICLOVIR CRE 5% X 15 GR CHILE;CHILE;46265;534;;;2286
7,80001E+12;CM110698;FAR;ACIDO ACETIL SALICILICO COM 100 MG X 100 CHILE (BE);CHILE;46691;856;;;1383
7,80007E+12;CM106833;FAR;ACIDO ACETIL SALICILICO COM 100 MG X 100 PAST;PASTEUR;46446;1493;;;72
9,9811E+12;M9981104487113;FAR;ACIDO CITRICO X 80 GR QUIMNATURA;QUIMNATURA;46478;678;;;50
7,80001E+12;M7800007173881;FAR;ACIDO MEFENAMICO COM 500 MG X 10 CHILE (BE);CHILE;46235;522;;;50
7,80467E+12;G000019;FAR;ACIDO MEFENAMICO COM 500 MG X 10 MDC;MDC;46660;325,82;;;50
7,80006E+12;CM112455;FAR;ACIDO MEFENAMICO COM 500 MG X 10 MINT;MINTLAB;47238;402;;;1100
9,99887E+12;M9998874432229;FAR;ACIDO SALICILICO PVO X 1 GR (CAJ X 25) QUIMNATURA;QUIMNATURA;46478;182;;;50
9,33227E+12;M9332273331118;FAR;ACIDO SALICILICO SBR X 5 GR (CAJ X 25) QUIMNATURA;QUIMNATURA;46447;645;;;50
7,80002E+12;M7800018000466;FAR;ACIDO VALPROICO COM 200 MG X 30 AND;ANDROMACO;45962;3588;;;50
7,80002E+12;M7800018000930;FAR;ACIDO VALPROICO COM 250 MG X 20 AND;ANDROMACO;46357;2833;;;50
7,80002E+12;M7800018000473;FAR;ACIDO VALPROICO COM 500 MG X 30 AND;ANDROMACO;46296;4773;;;50
7,70724E+12;M7707236121761;FAR;ACIDO ZOLEDRONICO SOL INY 4 MG/5 ML X 1 VITALIS;VITALIS;46266;7955;;;50
7,80006E+12;GL261287;FAR;ACIFIN COM MAST X 10;MINTLAB;46630;524;;;791
8,42942E+12;M8429420236769;FAR;ACNIBEN FACE MASK X 75 ML;ISDIN;46388;7837;;;50
8,47E+12;M8470003245913;FAR;ACNIBEN GEL LIMPIAD X 150 ML;ISDIN;46539;9090;;;50
8,47E+12;M8470001855107;FAR;ACNIBEN ON THE SPOT X 15 ML;ISDIN;46478;8430;;;50
8,47E+12;GL253270;FAR;ACNIBEN REPAIR LIMP X 180ML;ISDIN;46660;9690;;;19
8,47E+12;M8470001509802;FAR;ACNIBEN RX BAL REP LAB X 10ML;ISDIN;46447;5927;;;50
8,47E+12;M8470002000704;FAR;ACNIBEN RX CRE HIDRATANTE X 40 ML;ISDIN;46419;12841;;;50
7,80028E+11;M780028002740;FAR;ACNOTIN CAP 10 MG X 30;BAGO;46235;17950;;;50
7,80003E+12;M7800028002757;FAR;ACNOTIN CAP 20 MG X 30;BAGO;46204;28825;;;50
10031704;M10031704;FAR;ACONDICIONADOR PET ALOE VERA X 400 ML ELITE (VET);ELITE;45870;1546;;;50
7,80003E+12;M7800026547861;FAR;ACOTOL COM X 28;RECALCINE;46447;10768;;;50
7,79537E+12;CM100489;FAR;ACRYLARM GEL OFT 0,2% X 10 GR;PHARMA INVESTI;46721;9310;;;12
7,80006E+12;CM100491;FAR;ACTAN CAP 20 MG X 30 (BE);SAVAL;46568;14736;;;8
7,80006E+12;GL66661112;FAR;ACTAN CAP 20 MG X 60 (BE);SAVAL;46721;26210;;;28
7,80003E+12;M7800028009381;FAR;ACTIGERON COM 500 MG X 30;BAGO;46204;24134;;;50
7,80462E+12;M7804621200008;FAR;ACTRAPID HM AMP 100UI X 10 ML X 1;NOVO NORDISK;46023;23403;;;50
7,79364E+12;G653422;FAR;ACTRON CAP 400 MG X 10;BAYER OTC;46203;1649,48;;;50
7,79364E+12;G683412;FAR;ACTRON CAP 600 MG X 10;BAYER OTC;46203;2909,06;;;50
7,80526E+12;M7805256000056;FAR;ACULAR LS SOL OFT 0,4% X 5 ML;ALLERGAN;46143;24712;;;50
7,80003E+12;CM100506;FAR;ACUODE SBR 50.000 UI X 2;RECALCINE;46203;11367;;;224
7,80461E+12;M7804612010661;FAR;ADAPAC GEL DERM 0,3% X 30 GR;D & M PHARMA;46266;11212;;;50
7,80006E+12;GL31069;FAR;ADESNA COM 500 MG X 10;MINTLAB;47149;858;;;803
7,79814E+12;M7798144991409;FAR;ADEX AMP X 20 ML;VETERINARIA CHEMIE;46388;23826;;;50
7,80492E+12;M7804923530018;FAR;ADICTIVE 1/0 NEGRO X 40 GR;COSMETICA NACIONAL;46722;592;;;50
