BARRA;PRODUCTO;FAM;DESCPROD;LABORATORIO;FECLOTE;NETO;PEDIDO;TOTAL NETO;SALDO
7,36085E+11;53059;FAM;3A-OFTENO 0,1% SOLUCION OFTALMICA 5 ML [BE] (DICLOFENACO);SOPHIA;jul-25;$22.075;;$0;30
7,80495E+12;97116;FAM;451 COLONIA INGLESA 260 ML CON ATOMIZADOR;DURANDIN;dic-27;$4.570;;$0;83
7,80495E+12;97037;FAM;451 COLONIA INGLESA 400 ML;DURANDIN;feb-28;$6.226;;$0;129
7,80006E+12;6050;FAM;AB 5 MG 12 COMPRIMIDOS MASTICABLES (CLORHEXIDINA);SAVAL;oct-27;$5.940;;$0;594
7,80006E+12;6196;FAM;AB ANTITUSIVO 12 COMPRIMIDOS MASTICABLES (CLORHEXIDINA+NOSCAPINA);SAVAL;feb-28;$5.887;;$0;1017
7,80007E+12;41002;FAM;ABECIDIN-ACD SOLUCION ORAL GOTAS 30 ML;PASTEUR;may-26;$9.710;;$0;396
4,10448E+12;161139;FAM;ABRILAR 35 MG/5ML JARABE 100 ML (HEDERA HELIX);PHARMA INVESTI;ene-27;$7.734;;$0;7293
7,80007E+12;41410005;FAM;AC JARABE 120 ML (CODEINA+PSEUDOEFEDRINA+CLORFENAMINA);PASTEUR;ene-27;$5.190;;$0;573
7,80006E+12;16101048;FAM;ACCUALAXAN 3350 POLVO SOLUCION ORAL CAJA X 7 SOBRES (MACROGOL) ;PHARMA INVESTI;nov-26;$14.375;;$0;99
7,80003E+12;258354;FAM;ACEBRON 4 MG 20 COMPRIMIDOS BIRANURADOS [BE] (ACENOCUMAROL);RECALCINE;abr-26;$26.580;;$0;42
7,80003E+12;258354;FAM;ACEBRON 4 MG 20 COMPRIMIDOS BIRANURADOS [BE] (ACENOCUMAROL);RECALCINE;sept-25;$26.580;;$0;11
7,80463E+12;30400843;FAM;ACECNOU GRANULADO SOLUCION ORAL 3G. CAJA X 2 SOBRES (FOSFOMICINA TROMETAMOL);FAES FARMA CHILE;oct-28;$48.600;;$0;59
8,43602E+12;30400041;FAM;ACECNOU GRANULADO SOLUCION ORAL 3G. X 1 SOBRE (FOSFOMICINA TROMETAMOL);FAES FARMA CHILE;oct-28;$28.922;;$0;183
7,80005E+12;99700005;FAM;ACEITE DE COCO 60 ML [ELITE] (USO EXTERNO);XYLO;feb-27;$3.275;;$0;107
